observation_date,NYSTHPI
1975-01-01,78.40
1975-04-01,75.92
1975-07-01,77.88
1975-10-01,79.63
1976-01-01,72.94
1976-04-01,74.80
1976-07-01,75.66
1976-10-01,73.98
1977-01-01,77.86
1977-04-01,83.01
1977-07-01,82.57
1977-10-01,84.81
1978-01-01,83.53
1978-04-01,87.56
1978-07-01,84.06
1978-10-01,83.89
1979-01-01,96.92
1979-04-01,95.95
1979-07-01,94.91
1979-10-01,98.28
1980-01-01,100.00
1980-04-01,107.25
1980-07-01,115.05
1980-10-01,111.35
1981-01-01,112.20
1981-04-01,108.38
1981-07-01,115.71
1981-10-01,114.36
1982-01-01,123.42
1982-04-01,125.25
1982-07-01,122.40
1982-10-01,126.47
1983-01-01,128.73
1983-04-01,132.80
1983-07-01,138.24
1983-10-01,147.22
1984-01-01,150.68
1984-04-01,156.69
1984-07-01,162.20
1984-10-01,169.15
1985-01-01,176.20
1985-04-01,184.55
1985-07-01,190.88
1985-10-01,198.43
1986-01-01,206.27
1986-04-01,217.19
1986-07-01,227.04
1986-10-01,237.21
1987-01-01,246.66
1987-04-01,255.32
1987-07-01,266.94
1987-10-01,270.93
1988-01-01,277.21
1988-04-01,280.76
1988-07-01,282.84
1988-10-01,283.66
1989-01-01,283.46
1989-04-01,282.94
1989-07-01,285.95
1989-10-01,286.62
1990-01-01,286.56
1990-04-01,283.36
1990-07-01,281.71
1990-10-01,278.75
1991-01-01,278.35
1991-04-01,280.19
1991-07-01,279.27
1991-10-01,281.59
1992-01-01,286.84
1992-04-01,282.86
1992-07-01,286.00
1992-10-01,288.05
1993-01-01,282.70
1993-04-01,289.41
1993-07-01,288.49
1993-10-01,289.63
1994-01-01,286.25
1994-04-01,282.38
1994-07-01,280.90
1994-10-01,275.69
1995-01-01,274.34
1995-04-01,279.14
1995-07-01,283.77
1995-10-01,282.85
1996-01-01,287.61
1996-04-01,285.94
1996-07-01,283.85
1996-10-01,283.55
1997-01-01,283.65
1997-04-01,287.00
1997-07-01,289.49
1997-10-01,292.41
1998-01-01,298.95
1998-04-01,301.20
1998-07-01,303.53
1998-10-01,307.64
1999-01-01,309.97
1999-04-01,315.68
1999-07-01,324.61
1999-10-01,330.69
2000-01-01,335.40
2000-04-01,345.48
2000-07-01,355.57
2000-10-01,361.00
2001-01-01,369.14
2001-04-01,377.34
2001-07-01,387.71
2001-10-01,394.55
2002-01-01,404.16
2002-04-01,416.94
2002-07-01,429.60
2002-10-01,438.90
2003-01-01,448.69
2003-04-01,459.62
2003-07-01,466.71
2003-10-01,488.58
2004-01-01,498.85
2004-04-01,513.52
2004-07-01,538.49
2004-10-01,551.95
2005-01-01,566.67
2005-04-01,585.51
2005-07-01,604.71
2005-10-01,618.43
2006-01-01,629.56
2006-04-01,631.36
2006-07-01,630.64
2006-10-01,638.91
2007-01-01,641.98
2007-04-01,639.83
2007-07-01,630.58
2007-10-01,632.53
2008-01-01,635.90
2008-04-01,623.87
2008-07-01,607.63
2008-10-01,601.87
2009-01-01,608.98
2009-04-01,595.82
2009-07-01,581.83
2009-10-01,576.60
2010-01-01,572.92
2010-04-01,569.24
2010-07-01,577.29
2010-10-01,577.13
2011-01-01,568.45
2011-04-01,560.35
2011-07-01,557.83
2011-10-01,562.09
2012-01-01,557.87
2012-04-01,552.08
2012-07-01,553.92
2012-10-01,555.69
2013-01-01,556.49
2013-04-01,557.82
2013-07-01,560.55
2013-10-01,559.43
2014-01-01,559.89
2014-04-01,565.43
2014-07-01,573.57
2014-10-01,576.83
2015-01-01,582.32
2015-04-01,587.02
2015-07-01,591.91
2015-10-01,592.78
2016-01-01,595.81
2016-04-01,605.39
2016-07-01,613.58
2016-10-01,619.03
2017-01-01,620.47
2017-04-01,630.33
2017-07-01,642.83
2017-10-01,648.71
2018-01-01,655.77
2018-04-01,663.50
2018-07-01,674.23
2018-10-01,674.65
2019-01-01,680.19
2019-04-01,691.27
2019-07-01,701.38
2019-10-01,708.80
2020-01-01,715.39
2020-04-01,721.35
2020-07-01,733.19
2020-10-01,749.26
2021-01-01,766.95
2021-04-01,794.57
2021-07-01,834.36
2021-10-01,853.25
2022-01-01,875.05
2022-04-01,924.94
2022-07-01,944.96
2022-10-01,940.44
2023-01-01,941.72
2023-04-01,977.46
2023-07-01,1009.10
2023-10-01,1013.71
2024-01-01,1023.80
2024-04-01,1062.02
2024-07-01,1085.49
2024-10-01,1091.69
